131,9
125,12
1,157
26,215
9,115
120,37
6,55
5,89
95,13
235,148
11,85
12,66
5,46
148,24
153,6
125,7
93,18
72,1
72,1
48,2
11,86
0,22
53,1
95,22
87,6
116,5
69,17
44,7
0,22
71,44
36,12
0,16
15,0
0,21
0,17
3,86
40,7
40,12
29,1
1,17
44,8
5,48
50,4
154,15
38,1
42,11
25,3
66,9
27,0
17,0
18,1
4,30
28,7
3,56
8,62
6,69
26,33
9,29
38,21
4,41
0,10
8,0
56,0
14,4
26,16
17,1
3,31
34,107
29,99
11,32
3,21
3,26
18,0
16,0
13,0
11,0
25,0
25,54
2,25
1,16
74,6
34,5
7,51
45,18
64,17
56,17
14,0
8,0
39,0
13,0
47,2
0,14
0,10
7,0
14,0
11,0
34,2
4,19
27,6
6,16
39,23
14,35
42,10
22,4
25,5
12,1
30,2
24,2
38,2
6,0
12,0
10,0
0,6
10,0
11,0
1,25
50,32
6,37
60,19
42,11
2,15
18,8
20,1
11,1
1,13
31,6
17,0
0,11
9,0
3,25
0,5
6,0
17,0
0,2
10,0
0,7
0,6
0,8
9,0
2,14
3,35
1,23
1,13
11,1
20,6
14,1
44,6
6,0
23,1
9,0
14,0
5,0
0,14
6,0
5,0
7,0
36,4
0,7
0,48
35,2
5,0
21,1
18,0
9,0
8,0
5,0
6,0
80,26
10,0
20,3
21,0
0,15
0,9
6,0
0,8
6,0
5,0
4,0
13,2
16,4
15,1
44,47
2,10
14,1
0,3
4,0
8,0
11,1
14,3
0,9
0,5
7,0
0,0
2,13
8,0
15,0
25,2
6,0
6,0
5,0
0,11
4,0
6,0
25,5
6,0
0,3
5,0
5,14
20,3
0,7
0,5
25,0
0,9
22,0
6,0
16,0
5,0
8,0
13,1
7,0
19,3
7,0
0,17
0,8
0,5
6,0
11,0
0,8
10,0
0,5
17,4
5,0
6,0
16,28
0,12
7,0
4,0
5,15
7,1
4,0
0,4
4,0
5,0
7,2
0,2
7,0
0,3
0,10
0,4
5,0
0,4
5,0
0,6
6,0
6,0
7,0
5,0
9,0
4,0
0,5
0,3
0,10
6,0
0,4
5,0
5,0
0,7
4,0
0,5
6,0
4,0
0,7
10,0
0,5
6,0
7,0
0,4
0,7
5,0
0,7
4,0
6,0
0,4
0,6
5,0
6,0
0,3
0,4
13,0
0,8
4,0
10,0
6,0
6,0
2,0
12,0
4,0
